Starting experiment
Log:       log/5950x-py3-12-gregor-1000000.log
Processes: [32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]
Size:      [1000000]
Repeat:    10
Clear:     False
Debug:     False
Algorithm: multiprocessing_mergesort
Tag:       None
Total:     320
Experiment 128       : size=1000000 processes=13 repeat=1 last_time=0.6405                     
Experiment 127       : size=1000000 processes=13 repeat=2 last_time=0.6363                     
Experiment 126       : size=1000000 processes=13 repeat=3 last_time=0.6583                     
Experiment 125       : size=1000000 processes=13 repeat=4 last_time=0.6607                     
Experiment 124       : size=1000000 processes=13 repeat=5 last_time=0.626                     
Experiment 123       : size=1000000 processes=13 repeat=6 last_time=0.654                     
Experiment 122       : size=1000000 processes=13 repeat=7 last_time=0.6579                     
Experiment 121       : size=1000000 processes=13 repeat=8 last_time=0.6683                     
Experiment 120       : size=1000000 processes=13 repeat=9 last_time=0.6481                     
Experiment 119       : size=1000000 processes=12 repeat=0 last_time=0.6344                     
Experiment 118       : size=1000000 processes=12 repeat=1 last_time=0.6467                     
Experiment 117       : size=1000000 processes=12 repeat=2 last_time=0.6619                     
Experiment 116       : size=1000000 processes=12 repeat=3 last_time=0.6023                     
Experiment 115       : size=1000000 processes=12 repeat=4 last_time=0.6658                     
Experiment 114       : size=1000000 processes=12 repeat=5 last_time=0.6728                     
Experiment 113       : size=1000000 processes=12 repeat=6 last_time=0.6595                     
Experiment 112       : size=1000000 processes=12 repeat=7 last_time=0.653                     
Experiment 111       : size=1000000 processes=12 repeat=8 last_time=0.6825                     
Experiment 110       : size=1000000 processes=12 repeat=9 last_time=0.673                     
Experiment 109       : size=1000000 processes=11 repeat=0 last_time=0.6919                     
Experiment 108       : size=1000000 processes=11 repeat=1 last_time=0.698                     
Experiment 107       : size=1000000 processes=11 repeat=2 last_time=0.6814                     
Experiment 106       : size=1000000 processes=11 repeat=3 last_time=0.692                     
Experiment 105       : size=1000000 processes=11 repeat=4 last_time=0.6953                     
Experiment 104       : size=1000000 processes=11 repeat=5 last_time=0.711                     
Experiment 103       : size=1000000 processes=11 repeat=6 last_time=0.6762                     
Experiment 102       : size=1000000 processes=11 repeat=7 last_time=0.6954                     
Experiment 101       : size=1000000 processes=11 repeat=8 last_time=0.7067                     
Experiment 100       : size=1000000 processes=11 repeat=9 last_time=0.6888                     
Experiment 99        : size=1000000 processes=10 repeat=0 last_time=0.6755                     
Experiment 98        : size=1000000 processes=10 repeat=1 last_time=0.7326                     
Experiment 97        : size=1000000 processes=10 repeat=2 last_time=0.6798                     
Experiment 96        : size=1000000 processes=10 repeat=3 last_time=0.7197                     
